,movie_id,title,tags
0,19995,Avatar,"in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d samworthington zoesaldana sigourneyweaver jamescameron"
1,285,Pirates of the Caribbean: At World's End,"captain barbossa, long believed to be dead, has come back to life and is headed to the edge of the earth with will turner and elizabeth swann. but nothing is quite as it seems. adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley goreverbinski"
2,206647,Spectre,"a cryptic message from bond’s past sends him on a trail to uncover a sinister organization. while m battles political forces to keep the secret service alive, bond peels back the layers of deceit to reveal the terrible truth behind spectre. action adventure crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom danielcraig christophwaltz léaseydoux sammendes"
3,49026,The Dark Knight Rises,nan
4,49529,John Carter,nan
5,559,Spider-Man 3,nan
6,38757,Tangled,nan
7,99861,Avengers: Age of Ultron,nan
8,767,Harry Potter and the Half-Blood Prince,nan
9,209112,Batman v Superman: Dawn of Justice,nan
10,1452,Superman Returns,nan
11,10764,Quantum of Solace,nan
12,58,Pirates of the Caribbean: Dead Man's Chest,nan
13,57201,The Lone Ranger,nan
14,49521,Man of Steel,nan
15,2454,The Chronicles of Narnia: Prince Caspian,nan
16,24428,The Avengers,nan
17,1865,Pirates of the Caribbean: On Stranger Tides,nan
18,41154,Men in Black 3,nan
19,122917,The Hobbit: The Battle of the Five Armies,nan
20,1930,The Amazing Spider-Man,nan
21,20662,Robin Hood,nan
22,57158,The Hobbit: The Desolation of Smaug,nan
23,2268,The Golden Compass,nan
24,254,King Kong,nan
25,597,Titanic,nan
26,271110,Captain America: Civil War,nan
27,44833,Battleship,nan
28,135397,Jurassic World,nan
29,37724,Skyfall,nan
30,558,Spider-Man 2,nan
31,68721,Iron Man 3,nan
32,12155,Alice in Wonderland,nan
33,36668,X-Men: The Last Stand,nan
34,62211,Monsters University,nan
35,8373,Transformers: Revenge of the Fallen,nan
36,91314,Transformers: Age of Extinction,nan
37,68728,Oz: The Great and Powerful,nan
38,102382,The Amazing Spider-Man 2,nan
39,20526,TRON: Legacy,nan
40,49013,Cars 2,nan
41,44912,Green Lantern,nan
42,10193,Toy Story 3,nan
43,534,Terminator Salvation,nan
44,168259,Furious 7,nan
45,72190,World War Z,nan
46,127585,X-Men: Days of Future Past,nan
47,54138,Star Trek Into Darkness,nan
48,81005,Jack the Giant Slayer,nan
49,64682,The Great Gatsby,nan
50,9543,Prince of Persia: The Sands of Time,nan
51,68726,Pacific Rim,nan
52,38356,Transformers: Dark of the Moon,nan
53,217,Indiana Jones and the Kingdom of the Crystal Skull,nan
54,105864,The Good Dinosaur,nan
55,62177,Brave,nan
56,188927,Star Trek Beyond,nan
57,10681,WALL·E,nan
58,5174,Rush Hour 3,nan
59,14161,2012,nan
60,17979,A Christmas Carol,nan
61,76757,Jupiter Ascending,nan
62,258489,The Legend of Tarzan,nan
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",nan
64,246655,X-Men: Apocalypse,nan
65,155,The Dark Knight,nan
66,14160,Up,nan
67,15512,Monsters vs Aliens,nan
68,1726,Iron Man,nan
